Step 0
2,0,3,2,3,1,1,1,1,1
1,3,3,1,2,0,3,1,1,3
3,3,1,2,2,1,0,3,0,2
3,0,3,1,0,0,3,1,1,3
2,0,0,1,1,1,0,3,2,0
0,3,3,2,0,1,1,1,0,0
2,1,1,2,1,3,0,2,1,1
0,3,3,2,3,1,0,3,0,3
1,1,3,1,3,3,1,1,1,3
0,0,1,1,1,0,0,2,3,2

Step 1
2,1,0,0,3,0,3,3,2,3
2,2,0,3,0,3,0,0,2,1
1,1,2,2,3,3,2,2,2,1
1,1,2,1,3,0,1,2,3,2
1,2,2,2,3,2,2,1,1,1
3,3,1,0,3,3,1,2,2,2
3,1,1,3,3,2,2,1,0,3
1,1,2,2,2,2,2,2,0,1
0,1,3,2,1,2,0,1,2,0
1,1,1,3,3,0,0,0,0,2

Step 2
0,2,0,1,1,0,3,3,0,1
3,1,2,2,3,1,2,3,1,1
1,0,3,3,1,1,1,2,2,3
0,3,1,2,2,1,2,3,2,2
1,1,0,1,0,1,3,2,2,2
3,2,1,1,2,3,3,2,3,3
0,0,0,2,2,3,0,2,3,1
2,2,0,2,3,2,1,0,0,1
3,2,2,3,0,0,2,0,2,0
2,2,3,1,0,2,2,0,0,2

Step 3
0,1,2,2,0,0,3,3,2,0
1,2,1,1,3,3,2,0,2,2
1,2,1,3,0,0,1,1,2,0
2,0,0,3,1,0,3,3,0,1
0,2,2,0,1,2,1,2,0,1
2,1,2,3,0,3,0,2,3,0
1,2,1,3,0,0,1,1,1,3
3,1,3,3,2,0,3,1,0,1
0,1,0,1,1,1,2,0,2,2
3,3,0,3,3,2,0,1,3,0

Step 4
1,3,0,3,3,1,3,3,1,2
0,3,3,3,3,2,3,1,0,0
1,2,3,3,1,0,1,2,2,2
3,2,1,3,1,2,1,1,2,0
2,3,3,3,1,1,0,2,2,0
1,1,3,1,3,2,3,0,1,1
3,1,1,0,2,3,3,0,3,2
3,2,0,2,2,1,1,2,1,0
2,1,1,0,0,0,1,0,1,1
3,0,2,3,1,3,1,3,1,3

Step 5
0,2,3,2,1,1,2,2,0,1
0,1,0,0,3,1,2,3,2,0
0,0,2,1,2,1,0,2,1,0
0,0,3,0,0,1,1,3,2,3
3,2,1,0,0,1,2,0,0,0
3,3,1,0,0,0,0,3,2,3
2,3,3,1,3,0,3,1,2,0
0,0,1,0,2,3,0,0,2,3
3,0,2,0,3,1,2,1,3,1
3,3,1,2,3,3,2,0,1,1

Step 6
3,3,0,0,1,2,1,3,0,0
2,3,3,0,1,3,0,3,0,1
2,1,0,0,1,0,2,0,3,1
2,0,1,3,0,2,2,1,2,1
1,2,1,2,1,1,2,1,3,0
2,3,1,1,3,1,1,2,3,2
3,2,2,1,1,0,1,0,0,0
2,2,1,3,1,0,0,2,0,0
1,1,3,2,3,1,0,3,1,0
2,3,0,1,0,1,0,0,0,2

Step 7
3,1,0,1,1,1,1,3,3,1
1,0,3,3,2,2,1,1,3,2
3,2,0,3,0,0,2,0,2,2
2,2,0,0,2,3,3,2,2,0
0,3,3,0,3,1,3,2,2,2
0,2,3,2,0,0,2,1,3,0
0,3,0,0,3,0,2,0,2,3
1,2,2,3,0,3,1,2,1,0
3,0,2,1,3,3,1,0,1,2
1,1,1,2,0,0,1,2,0,1

Step 8
0,3,3,0,1,3,2,1,3,2
3,3,1,1,2,3,1,0,1,1
0,3,0,1,3,2,0,1,2,2
1,1,1,1,1,0,2,1,3,0
0,1,3,3,1,3,2,2,2,3
2,2,1,0,2,1,1,1,1,2
3,3,0,3,1,2,2,0,2,2
0,3,1,1,2,2,0,2,3,2
3,1,2,1,3,0,3,1,3,3
3,1,2,1,3,3,0,3,1,1

Step 9
0,0,1,2,3,3,1,2,2,1
3,0,1,3,2,2,3,3,0,1
2,1,2,3,0,0,3,3,3,3
1,2,3,3,2,2,3,3,1,2
0,1,3,3,0,2,2,2,0,3
1,0,2,1,1,3,0,1,2,0
0,3,0,2,0,0,3,0,2,1
0,2,0,2,1,3,0,3,0,1
1,2,0,3,2,0,1,1,0,1
2,2,1,2,2,3,1,3,2,2

Step 10
2,1,0,0,1,3,3,2,3,0
0,0,3,0,2,2,2,0,2,0
0,0,2,0,1,0,0,1,2,2
2,1,1,1,0,1,2,2,0,0
2,0,1,3,1,0,1,2,3,2
0,2,1,1,0,1,0,0,3,1
3,1,3,0,2,1,1,1,2,3
0,3,3,0,0,1,2,0,3,1
1,3,2,3,3,2,2,2,2,3
2,2,2,2,0,2,1,3,3,0

Step 11
1,1,1,2,0,3,1,1,2,2
0,3,0,0,0,3,3,1,1,2
1,2,2,3,3,3,1,3,1,3
2,0,0,2,2,2,2,3,0,3
2,0,2,1,2,2,2,2,3,2
2,0,2,0,0,2,3,0,3,1
2,3,0,0,1,3,2,1,2,2
2,0,1,3,1,1,2,3,3,2
2,3,2,0,2,1,1,0,1,3
2,1,0,1,0,3,1,2,1,3

Step 12
3,2,2,2,2,2,0,3,0,3
1,0,2,3,3,1,1,1,0,2
3,2,1,2,0,0,0,1,1,1
2,0,0,2,3,1,2,1,1,1
0,0,3,0,3,3,3,0,1,3
1,1,0,2,2,3,1,1,2,1
0,1,1,0,1,0,0,3,2,3
0,2,1,3,0,2,0,2,1,0
0,3,0,0,1,2,2,3,1,2
2,2,1,3,0,1,3,2,2,2

Step 13
0,0,1,2,1,1,1,3,1,2
3,2,0,1,2,1,1,2,2,1
0,0,2,0,2,2,2,0,3,3
1,0,0,1,2,3,3,0,1,2
2,3,0,1,1,1,2,3,1,3
0,1,1,1,1,2,0,3,0,1
3,2,2,3,1,1,0,1,0,1
1,2,3,1,3,1,0,0,0,1
3,0,2,0,2,3,1,0,0,3
0,3,0,3,2,3,1,2,1,2

Step 14
3,3,3,1,1,1,3,0,0,3
1,1,2,1,1,0,0,2,1,3
1,3,0,1,0,1,3,0,2,1
3,1,0,3,2,0,1,0,3,3
1,1,3,2,3,1,3,3,1,2
2,0,0,3,0,0,3,0,0,0
1,1,0,0,3,3,0,3,1,3
2,0,2,2,1,3,1,1,0,1
3,2,3,2,1,2,2,0,3,3
0,1,3,0,1,3,3,2,3,0

Step 15
1,0,1,3,2,2,3,2,1,1
3,1,0,0,1,2,0,3,0,3
2,3,2,3,3,3,2,2,1,2
0,2,2,1,2,0,1,2,1,1
